author,title,description,url,source,published_at
The Telegraph,"Ukraine: The Latest podcast - ""The idea the Russians have taken Bakhmut is hilarious""","Today, we analyse the fallout from the leaked pentagon documents on Ukraine and our defence editor reflects on her most recent despatch from the front-lines.",https://ca.sports.yahoo.com/news/ukraine-latest-listen-daily-podcast-172148891.html?src=rss,sports,2023-04-11
,Guerre en Ukraine : la Russie adopte une loi permettant l’enrôlement en ligne,"Il sera desormais tres complique d'echapper a sa convocation militaire en Russie. Mardi, la Douma a adopte une loi permettant de l'envoyer par voie electronique.",https://www.lepoint.fr/monde/guerre-en-ukraine-la-russie-adopte-une-loi-permettant-l-enrolement-en-ligne-11-04-2023-2515874_24.php#xtor=RSS-286,lepoint,2023-04-11
,YELLEN SAYS DEEPLY CONCERNED OVER RUSSIA'S DETENTION OF WSJ REPO&#8230;,(marketscreener.com) YELLEN SAYS DEEPLY CONCERNED OVER RUSSIA'S DETENTION OF WSJ REPORTER https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/YELLEN-SAYS-DEEPLY-CONCERNED-OVER-RUSSIA-S-DETENTION-OF-WSJ-REPO-8230-43468710/?utm_medium=RSS&utm_content=20230411,https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/YELLEN-SAYS-DEEPLY-CONCERNED-OVER-RUSSIA-S-DETENTION-OF-WSJ-REPO-8230-43468710/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
,YELLEN SAYS RUSSIA'S WAR IN UKRAINE SHOWED IMPORTANCE OF DIVERSI&#8230;,(marketscreener.com) YELLEN SAYS RUSSIA'S WAR IN UKRAINE SHOWED IMPORTANCE OF DIVERSIFYING SUPPLY CHAINS https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/YELLEN-SAYS-RUSSIA-S-WAR-IN-UKRAINE-SHOWED-IMPORTANCE-OF-DIVERSI-8230-43468709/?utm_medium=RSS&utm_content=20230411,https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/YELLEN-SAYS-RUSSIA-S-WAR-IN-UKRAINE-SHOWED-IMPORTANCE-OF-DIVERSI-8230-43468709/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
,"Europe cannot turn its back on China, Spanish minister says","(marketscreener.com) Europe cannot ignore China's role as a key trading partner and important geopolitical player that could help put an end to the war in Ukraine, or provide debt relief for low-income countries, Spanish Economy Minister Nadia Calvino said on Tuesday.https://www.marketscreener.com/news/latest/Europe-cannot-turn-its-back-on-China-Spanish-minister-says--43468687/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/news/latest/Europe-cannot-turn-its-back-on-China-Spanish-minister-says--43468687/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
,RUSSIA HAS EXPANDED DIESEL EXPORTS TO BRAZIL AMID EMBARGOES ON R&#8230;,"(marketscreener.com) RUSSIA HAS EXPANDED DIESEL EXPORTS TO BRAZIL AMID EMBARGOES ON RUSSIAN PRODUCTS BY EUROPE, SAYS ABICOM https://www.marketscreener.com/news/latest/RUSSIA-HAS-EXPANDED-DIESEL-EXPORTS-TO-BRAZIL-AMID-EMBARGOES-ON-R-8230--43468693/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/news/latest/RUSSIA-HAS-EXPANDED-DIESEL-EXPORTS-TO-BRAZIL-AMID-EMBARGOES-ON-R-8230--43468693/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
,RUSSIAN DIESEL ARRIVES IN BRAZIL BETWEEN 20 AND 30 CENTS A GALLO&#8230;,"(marketscreener.com) RUSSIAN DIESEL ARRIVES IN BRAZIL BETWEEN 20 AND 30 CENTS A GALLON CHEAPER THAN IMPORTS FROM OTHER COUNTRIES, SAYS PRESIDENT OF IMPORTERS' ASSOCIATION https://www.marketscreener.com/quote/currency/EURO-BRAZILIAN-REAL-EU-2358324/news/RUSSIAN-DIESEL-ARRIVES-IN-BRAZIL-BETWEEN-20-AND-30-CENTS-A-GALLO-8230-43468692/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/quote/currency/EURO-BRAZILIAN-REAL-EU-2358324/news/RUSSIAN-DIESEL-ARRIVES-IN-BRAZIL-BETWEEN-20-AND-30-CENTS-A-GALLO-8230-43468692/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
,BRAZIL IS EXPECTED TO RECEIVE BETWEEN 10 AND 15 SHIPS WITH RUSSI&#8230;,"(marketscreener.com) BRAZIL IS EXPECTED TO RECEIVE BETWEEN 10 AND 15 SHIPS WITH RUSSIAN DIESEL IN APRIL, WITH MOST UNLOADING AT PARANAGUA PORT, SAYS ARGUS https://www.marketscreener.com/quote/currency/EURO-BRAZILIAN-REAL-EU-2358324/news/BRAZIL-IS-EXPECTED-TO-RECEIVE-BETWEEN-10-AND-15-SHIPS-WITH-RUSSI-8230-43468691/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/quote/currency/EURO-BRAZILIAN-REAL-EU-2358324/news/BRAZIL-IS-EXPECTED-TO-RECEIVE-BETWEEN-10-AND-15-SHIPS-WITH-RUSSI-8230-43468691/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
,RUSSIAN DIESEL IMPORTS BY BRAZIL IN APRIL SHOULD JUMP TO 53% OF&#8230;,"(marketscreener.com) RUSSIAN DIESEL IMPORTS BY BRAZIL IN APRIL SHOULD JUMP TO 53% OF TOTAL IMPORTS BY BRAZILIANS VS 0.2% IN THE SAME MONTH OF 2022, ARGUS FORECASTS https://www.marketscreener.com/quote/currency/EURO-BRAZILIAN-REAL-EU-2358324/news/RUSSIAN-DIESEL-IMPORTS-BY-BRAZIL-IN-APRIL-SHOULD-JUMP-TO-53-OF-8230-43468690/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/quote/currency/EURO-BRAZILIAN-REAL-EU-2358324/news/RUSSIAN-DIESEL-IMPORTS-BY-BRAZIL-IN-APRIL-SHOULD-JUMP-TO-53-OF-8230-43468690/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
The Associated Press,Ukraine wants India to play bigger role in ending war,"NEW DELHI (AP) &#8212; Ukraine wants India to play a bigger role in helping end Russia&#8217;s war, its deputy foreign minister said Tuesday during the first visit by a senior Ukrainian official to India since the war began last year. India &#8220;can play a bigger and greater role&#8221; and Ukraine would &#8220;welcome any effort that [&#8230;]",https://nationalpost.com/pmn/news-pmn/ukraine-wants-india-to-play-bigger-role-in-ending-war,nationalpost,2023-04-11
KRUTIKA PATHI,Ukraine wants India to play bigger role in ending war,Ukraine's deputy foreign minister says her country wants India to play a bigger role in helping end Russia’s war,https://www.sandiegouniontribune.com/news/nation-world/story/2023-04-11/ukraine-wants-india-to-play-bigger-role-in-ending-war,signonsandiego,2023-04-11
Isabel Keane,"US reporter ‘violated Russian law,’ was caught ‘red-handed’: Kremlin","Wall Street Journal reporter Evan Gershkovich was caught ""red-handed"" violating Russian law, the Kremlin said on Tuesday after the US State Department officially designated the journalist as being ""wrongfully detained.""",https://nypost.com/2023/04/11/kremlin-evan-gershkovich-was-caught-red-handed-in-russia/,New York Post,2023-04-11
Craig Munro,Conductor for the Kyiv Opera killed on frontlines in Ukraine,'Now he will play his music with the heavenly orchestra.',https://metro.co.uk/2023/04/11/conductor-for-the-kyiv-opera-killed-on-frontlines-in-ukraine-18592949/,Metro,2023-04-11
,"U.N. says nearly 8,500 civilians killed since Russian invasion","The United Nations Office for The High Commissioner for Human Rights on Tuesday said the estimated civilian casualty figures for the war in Ukraine were nearing 8,500 but warned the actual numbers are likely much higher.",https://www.upi.com/Top_News/World-News/2023/04/11/ukraine-ohchr-8500-civilians-killed-Russian-invasion/7761681219906/,upi,2023-04-11
Reuters,"Russia’s Wagner mercenaries control over 80% of Bakhmut, leader says","The head of Russia&#8217;s Wagner mercenary group, Yevgeny Prigozhin, said in a video posted on Tuesday that his forces now control more than 80% of the eastern Ukrainian city of Bakhmut. Wagner fighters have led Russia&#8217;s months-long efforts to capture Bakhmut, in one of the bloodiest battles in its 13-month-old invasion of Ukraine. The grinding [&#8230;]",https://nationalpost.com/pmn/news-pmn/russias-wagner-mercenaries-control-over-80-of-bakhmut-leader-says,nationalpost,2023-04-11
Rob Beschizza,"Russia lost 1.3 million ""young workers"" last year","The Moscow Times reports that Russia's workforce lost 1.3M young people last year. If it invites the question ""I wonder where they went?"" the answer is the obvious one: they're fled or buried.Working citizens under the age of 35 in the Russian labor market totaled 21.5 million in December, accounting for 29.8% of the country's workforce of 72.1 million.  &#8212; Read the rest",https://boingboing.net/2023/04/11/russia-lost-1-3m-young-workers-in-the-last-year.html,boingboing,2023-04-11
Tim Marchman,Leaked Pentagon Docs Show Russia's Brutal Wagner Mercenaries Have Ambitions in Haiti,The top-secret documents show Vladimir Putin's favorite mercenary group has global plans well beyond fighting in Ukraine.,https://www.vice.com/en_us/article/v7be4x/leaked-pentagon-documents-wagner-group-haiti,Vice News,2023-04-11
,Kornet: Most Fearsome Weapon of Russia’s Tank Hunters?,"The Russian military is training special ‘tank hunter’ units designed to take on the German, British and American armor being sent to Ukraine. What sorts of weapons will Russian forces have at their disposal to counter the sophisticated Western heavy weapons platforms? Sputnik explores.",https://sputnikglobe.com/20230411/kornet-most-fearsome-weapon-of-russias-tank-hunters-1109361417.html,en,2023-04-11
,Zimbabwe Interested in Russia's Help With Water Security – Water Resources Agency,"MOSCOW, (Sputnik) – Zimbabwe has expressed its interest in Russia's experience in resolving issues of water deficit, river recovery and ecological education, the Russian Federal Agency of Water Resources (Rosvodoresursy) said on Tuesday.",https://sputnikglobe.com/20230411/zimbabwe-interested-in-russias-help-with-water-security--water-resources-agency-1109362906.html,en,2023-04-11
Reuters,"Volcano erupts in Russian far east, carpeting villages in ash","One of Russia's most active volcanoes erupted on the far eastern Kamchatka peninsula on Tuesday, shooting a vast cloud of ash far into the sky that smothered villages and triggered an aviation warning.",https://nypost.com/2023/04/11/volcano-erupts-in-russian-far-east-carpeting-villages-in-ash/,New York Post,2023-04-11
,Espagne : Pedro Sanchez devant le Congrès pour parler des accords avec le Maroc,"Le chef du gouvernement espagnol, Pedro Sanchez, comparaîtra devant la session plénière du Congrès, prévue mercredi 19 mai, pour évoquer lévolution du conflit en Ukraine et les relations de lEspagne avec le Maroc. Selon des sources parlementaires citées par l’agence Europe Press, cette séance sera inscrite à lordre du jour de la semaine prochaine.",https://www.yabiladi.com/articles/details/138683/espagne-pedro-sanchez-devant-congres.html,yabiladi.com,2023-04-11
,Ukrainian hackers say they have compromised Russian spy who hacked Democrats in 2016,(marketscreener.com) Ukrainian hackers claim to have broken into the emails of a senior Russian military spy wanted by the Federal Bureau of Investigation for hacking the Hillary Clinton campaign and other senior U.S. Democrats ahead of Donald Trump's election to the presidency in 2016.https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Ukrainian-hackers-say-they-have-compromised-Russian-spy-who-hacked-Democrats-in-2016-43468089/?utm_medium=RSS&utm_content=20230411,https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Ukrainian-hackers-say-they-have-compromised-Russian-spy-who-hacked-Democrats-in-2016-43468089/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
Reuters,Ukrainian hackers say they have compromised Russian spy who hacked Democrats in 2016,"WASHINGTON &#8212; Ukrainian hackers claim to have broken into the emails of a senior Russian military spy wanted by the Federal Bureau of Investigation for hacking the Hillary Clinton campaign and other senior U.S. Democrats ahead of Donald Trump&#8217;s election to the presidency in 2016. In a message posted to Telegram on Monday, a group [&#8230;]",https://nationalpost.com/pmn/news-pmn/crime-pmn/ukrainian-hackers-say-they-have-compromised-russian-spy-who-hacked-democrats-in-2016,nationalpost,2023-04-11
The Associated Press,Russian lawmakers vet bill allowing electronic draft notices,MOSCOW (AP) &#8212; Russian lawmakers approved legislation Tuesday that would allow authorities to issue electronic summons to draftees and reservists amid the fighting in Ukraine. The State Duma voted to pass the bill on its second and third readings. The legislation still needs approval from the upper house of parliament and President Vladimir Putin&#8217;s signature [&#8230;],https://nationalpost.com/pmn/news-pmn/russian-lawmakers-vet-bill-allowing-electronic-draft-notices,nationalpost,2023-04-11
,Russian lawmakers vet bill allowing electronic draft notices,Russian lawmakers have approved legislation that would allow authorities to issue electronic summons to draftees and reservists,https://www.sandiegouniontribune.com/news/nation-world/story/2023-04-11/russian-lawmakers-vet-bill-allowing-electronic-draft-notices,signonsandiego,2023-04-11
AFP,Russian volcano spews ash across Kamchatka peninsula,Volcanologists issued a red code warning for flights,https://timesofmalta.com/articles/view/russian-volcano-spews-ash-across-kamchatka-peninsula.1024736,Times of Malta,2023-04-11
