Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
48.9110806,38.4264294,9/19/2022,Lysychans'k,Luhansk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-russia-attacks-a-nuclear-plant-in-ukraine-as-counteroffensive-reportedly-moves-into-occupied-luhansk-oblast
46.8550216,35.3586996,5/22/2022,Melitopol',Zaporizhia Oblast,UA,security,arrest,https://kyivindependent.com/national/ukrainians-fleeing-russian-occupation-we-decided-it-was-scarier-to-stay-so-we-left
50.4501,30.5234,2/1/2022,Kyiv,Kyiv city,UA,security,arrest,https://kyivindependent.com/national/johnson-sanctions-the-minute-russian-troops-further-invade-ukraine
47.5015067,34.6341859,4/30/2022,Enerhodar,Zaporizhia Oblast,UA,security,arrest,https://kyivindependent.com/national/zaporizhzhia-fights-as-russians-intensify-offensive-in-region
48.1031637,38.5920837,6/16/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/ukrainian-counterattacks-exploit-russias-focus-but-are-stymied-by-lack-of-weapons
49.9935,36.230383,9/27/2022,Kharkiv,Kharkiv Oblast,UA,air,loitering_munition,https://kyivindependent.com/national/ukraine-war-latest-russia-declares-nearly-100-support-in-sham-annexation-votes
47.097133,37.543367,5/15/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/wives-of-besieged-azovstal-garrison-we-need-to-save-heroes-lives-not-give-posthumous-awards
50.4501,30.5234,11/18/2022,Kyiv,Kyiv city,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-half-of-ukraines-energy-system-disabled-says-pm
46.975033,31.994583,9/7/2022,Mykolaiv,Mykolaiv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/in-constantly-shelled-mykolaiv-volunteers-do-not-back-down
47.8388,35.139567,9/30/2022,Zaporizhzhia,Zaporizhia Oblast,UA,security,arrest,https://kyivindependent.com/national/ukraine-war-latest-russian-strike-kills-30-as-moscow-declares-biggest-land-grab-in-europe-since-world-war-ii
48.464717,35.046183,11/28/2022,Dnipro,Dnipropetrovsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-kremlin-denies-preparing-withdrawal-from-zaporizhzhia-nuclear-plant
48.1031637,38.5920837,2/19/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/ukrainians-inside-occupied-donbas-stuck-between-hope-and-fear
50.51875,30.239783,4/1/2022,Irpin,Kyiv Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/foreign-volunteers-help-fight-russia-in-irpin
48.1031637,38.5920837,7/29/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/dozens-of-ukrainian-prisoners-of-war-killed-in-russian-captivity
48.015883,37.80285,11/3/2022,Donetsk,Donetsk Oblast,UA,security,arrest,https://kyivindependent.com/national/ukraine-war-latest-iaea-finds-no-evidence-that-proves-russias-dirty-bomb-accusations
50.25465,28.658667,10/1/2022,Zhytomyr,Zhytomyr Oblast,UA,air,fixed_wing,https://kyivindependent.com/national/father-loses-5-family-members-to-russian-airstrike-they-were-killed-physically-i-was-killed-mentally-with-them
48.5986674,37.9980367,11/21/2022,Bakhmut,Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-kherson-under-russian-fire-after-liberation
50.4501,30.5234,3/15/2022,Kyiv,Kyiv city,UA,land,indirect_fire,https://kyivindependent.com/national/20-days-of-russias-war-in-ukraine-in-photos
48.1031637,38.5920837,1/29/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/embassy-advice-guide-for-foreign-citizens-in-ukraine
50.4501,30.5234,3/20/2022,Kyiv,Kyiv city,UA,missile,,https://kyivindependent.com/national/residents-of-building-hit-by-russian-missile-come-to-ruins-of-their-homes
48.1031637,38.5920837,1/14/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/russian-military-runs-combat-readiness-tests-in-far-east
50.4501,30.5234,8/20/2022,Kyiv,Kyiv city,UA,targeted,abduction,https://kyivindependent.com/national/relatives-sound-alarm-as-prominent-activist-in-russian-captivity-painted-nazi
48.1031637,38.5920837,4/9/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/voices-of-sieged-mariupol-its-not-even-comparable-to-hell
