Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
49.588267,34.551417,4/24/2022,Poltava,Poltava Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/04/24/7341821/
49.233083,28.468217,10/31/2022,Vinnytsia,Vinnytsia Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/10/31/7374227/
47.097133,37.543367,4/28/2022,Mariupol,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/04/28/7342693/
50.9077,34.7981,4/2/2022,Sumy,Sumy Oblast,UA,targeted,abduction,https://www.pravda.com.ua/eng/news/2022/04/2/7336542/
48.7614287,38.2501567,7/20/2022,Berestove,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/20/7359252/
47.097133,37.543367,5/25/2022,Mariupol,Donetsk Oblast,UA,security,exchange,https://www.pravda.com.ua/eng/news/2022/05/25/7348403/
46.8550216,35.3586996,11/13/2022,Melitopol',Zaporizhia Oblast,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/11/13/7376189/
47.329813,33.5940379,5/26/2022,Novovoskresens'ke,Kherson Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/26/7348593/
50.3150962,34.9005644,3/9/2022,Okhtyrka,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/9/7329688/
48.9481767,38.4878773,5/17/2022,Severodonetsk,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/17/7346672/
50.4501,30.5234,4/7/2022,Kyiv,Kyiv city,UA,targeted,sabotage,https://www.pravda.com.ua/eng/news/2022/04/7/7337880/
46.6794431,29.974368,12/16/2022,Lymans'ke,Odessa Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/12/16/7380970/
48.015883,37.80285,11/28/2022,Donetsk,Donetsk Oblast,UA,targeted,intimidation,https://www.pravda.com.ua/eng/news/2022/11/28/7378350/
47.910483,33.391783,7/9/2022,Kryvyi Rih,Dnipropetrovsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/9/7357152/
49.80941,24.901371,6/14/2022,Zolochiv,Lviv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/14/7352442/
47.82987,37.6485943,8/2/2022,Olenivka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/08/2/7361469/
47.910483,33.391783,12/16/2022,Kryvyi Rih,Dnipropetrovsk Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/12/16/7381006/
48.9481767,38.4878773,5/10/2022,Severodonetsk,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/10/7345212/
47.5015067,34.6341859,3/4/2022,Enerhodar,Zaporizhia Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/4/7328254/
46.8550216,35.3586996,7/28/2022,Melitopol',Zaporizhia Oblast,UA,targeted,intimidation,https://www.pravda.com.ua/eng/news/2022/07/28/7360651/
49.9935,36.230383,7/24/2022,Kharkiv,Kharkiv Oblast,UA,blast,ied,https://www.pravda.com.ua/eng/news/2022/07/24/7359927/
50.4642048,30.4664647,3/23/2022,Kyiv,Kyiv city,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/23/7333804/
50.25465,28.658667,9/5/2022,Zhytomyr,Zhytomyr Oblast,UA,security,interdiction,https://www.pravda.com.ua/eng/news/2022/09/5/7366147/
46.2914996,33.7362076,7/9/2022,Hryhorivka,Kherson Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/9/7357153/
48.015883,37.80285,3/20/2022,Donetsk,Donetsk Oblast,UA,air,fixed_wing,https://www.pravda.com.ua/eng/news/2022/03/20/7333138/
48.5986674,37.9980367,5/17/2022,Bakhmut,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/17/7346769/
50.4501,30.5234,5/8/2022,Kyiv,Kyiv city,UA,security,raid,https://www.pravda.com.ua/eng/news/2022/05/8/7344778/
46.7737707,36.8034779,5/5/2022,Berdyans'k,Zaporizhia Oblast,UA,maritime,,https://www.pravda.com.ua/eng/news/2022/05/5/7344303/
49.0422268,38.2176555,3/20/2022,Kreminna,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/20/7333028/
50.9077,34.7981,7/23/2022,Sumy,Sumy Oblast,UA,blast,ied,https://www.pravda.com.ua/eng/news/2022/07/23/7359760/
50.1097212,36.1155026,4/29/2022,Derhachi,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/04/29/7342867/
47.56746,34.394815,11/20/2022,Nikopol',Dnipropetrovsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/11/20/7377125/
49.0306474,32.1150933,10/6/2022,Kam'yanka,Cherkasy Oblast,UA,targeted,intimidation,https://www.pravda.com.ua/eng/news/2022/10/6/7370658/
46.975033,31.994583,5/3/2022,Mykolaiv,Mykolaiv Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/05/3/7343839/
48.604814,25.8416058,7/8/2022,Vasyliv,Chernivtsi Oblast,UA,targeted,abduction,https://www.pravda.com.ua/eng/news/2022/07/8/7357113/
50.9077,34.7981,10/15/2022,Sumy,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/10/15/7372123/
48.6161912,37.5272187,7/9/2022,Druzhkivka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/9/7357191/
46.8550216,35.3586996,3/21/2022,Melitopol',Zaporizhia Oblast,UA,targeted,abduction,https://www.pravda.com.ua/eng/news/2022/03/21/7333411/
51.8178825,31.9467381,3/28/2022,Snovsk,Chernihiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/28/7335200/
48.8532,37.6053,7/17/2022,Slovyansk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/17/7358548/
48.015883,37.80285,11/30/2022,Donetsk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/11/30/7378575/
46.8433183,33.4273644,10/18/2022,Beryslav,Kherson Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/10/18/7372364/
49.9935,36.230383,5/31/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/31/7349723/
50.4501,30.5234,4/13/2022,Kyiv,Kyiv city,UA,missile,,https://www.pravda.com.ua/eng/news/2022/04/13/7339402/
50.25465,28.658667,7/22/2022,Zhytomyr,Zhytomyr Oblast,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/07/22/7359578/
49.2121445,37.2665006,4/29/2022,Izyum,Kharkiv Oblast,UA,targeted,intimidation,https://www.pravda.com.ua/eng/news/2022/04/29/7342988/
